dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PPICMM,PCEPI,WUXIASHADOWRATE,HOUST,SP500,EXUSUKx,TB6MS,GS1,GS5,GS10,BAA
730180,1.53604401052476,5.72816886489136,2.50994063764409,80.577,4.2,1.00176719412985,40.5,4.1422201985732,2.74077012939742,-17.5185593053833,0.905810339317981,4.72902102600073,7.44424864949671,33.3027733083437,-4.65388868581371,4.47,4.78,5.14,5.23,7.53
730211,-3.27442127220152,7.16254822582556,2.72757225866087,80.4941,4.3,3.4576231752574,40.7,4.95186397322023,5.46283189255199,20.0004629822541,5.78421293316822,4.74413016979967,7.34794382314869,48.7144652331594,-9.2130970788411,4.37,4.69,5.08,5.18,7.48
730241,2.92946321306644,5.52171807178716,7.28973286465795,80.7718,4.2,1.96732819262877,40.7,7.38969150167037,1.81543151115697,72.16603048624,0.774392398845691,4.74167408507213,7.38461038317697,-2.42085254386524,4.83826602144806,4.56,4.85,5.44,5.54,7.72
730272,4.50746451181629,5.04605463137651,-0.687657811118214,80.2416,4.3,2.61499849505924,40.8,5.71624081924043,0.906686858397165,-29.54358966381,0.379111985987635,4.926389087238,7.35179986905778,-8.60691848508601,-15.2506413471011,4.82,5.1,5.81,5.9,8.02
730302,3.15931466603701,2.04140456038857,6.92743531975886,80.2257,4.3,3.01737469572743,40.8,3.25423928249915,2.71595740230524,77.595767392819,3.1861217455468,4.934898554419,7.41997992366183,51.8867304627758,-15.0659686935062,4.58,5.03,5.68,5.79,7.95
730333,5.67768039831691,6.24726091619827,5.34904819720516,80.3953,4.2,1.43638788807081,40.8,0.812182772120629,7.21264380257054,10.0512453626195,2.17180387150187,5.18506536787065,7.40731771046942,-47.4128305469069,23.1639749314726,4.87,5.2,5.84,5.94,8.15
730364,-0.479221595701063,6.00825994696201,-5.06423753785938,79.7252,4.2,1.8786080855044,40.9,6.47774852346927,8.9552654419073,31.8262824589137,4.30051731594894,5.17266376850968,7.39939808333135,-8.45463609380666,14.0413303021453,4.88,5.25,5.8,5.92,8.2
730394,7.23722750027846,2.63603747754289,15.4725472559388,80.5652,4.1,3.73919802139966,40.9,1.61398813839941,-0.892525143413536,18.2717367975496,2.03501314131032,5.31492068433884,7.38274644973891,-16.6469451901545,23.7674974410504,4.98,5.43,6.03,6.11,8.38
730425,8.29338787396239,5.88632059671284,6.25073744373665,80.7755,4.1,2.66111226560639,41,1.61182025576068,4.45600214959292,13.7871600573067,1.07872202163648,5.58918206133865,7.40731771046942,81.1811474348495,-26.8736251459735,5.2,5.55,5.97,6.03,8.15
730455,9.80859671559244,14.2787845430838,9.40055857186799,81.0017,4,2.81123089243707,40.8,4.02010426233872,2.66568047418474,19.8697350088807,2.778320981988,5.82636795344202,7.44307837434851,32.0736337314873,-5.41795149886688,5.44,5.84,6.19,6.28,8.19
730486,10.6708959287076,-2.92037442660593,-0.710940440255925,80.6921,4,2.13616989907734,40.9,4.80641497040981,0,40.7855740371563,3.26954467589609,5.85175203565732,7.40000951716269,-2.59821351770562,20.0643966224294,5.5,6.12,6.58,6.66,8.33
730517,4.95523118511088,11.2364160242098,4.39896847892456,80.5744,4.1,1.08953995788355,41.1,3.99069207165255,12.362140233391,14.944153285543,3.75674618930084,5.84966145657935,7.4599147662411,-31.3143554878831,-29.9237823480379,5.72,6.22,6.68,6.52,8.29
730546,3.35235955261339,5.90274049742554,4.54800560029405,80.7582,4,4.31181949906687,40.9,3.18302573895757,6.13363876468256,-21.9822966284209,5.15025568729257,6.06302629790308,7.38025578842646,45.2234309375868,-15.1704904188831,5.85,6.22,6.5,6.26,8.37
